gemeente,totaal_inwoners,totaal_mannen,totaal_vrouwen,totaal_0_15,totaal_15_25,totaal_25_45,totaal_45_65,totaal_65_plus,gemiddelde_woz,pct_eengezinswoning,totaal_koopwoningen,totaal_huurwoningen,gemiddeld_inkomen,totaal_laag_inkomen,totaal_bedrijfsvestigingen,gemiddelde_stedelijkheid
's-Gravenhage                           ,1574302.0,779217.0,794810.0,276087.0,191586.0,479045.0,403919.0,224010.0,239.90666666666667,26.980392156862745,6905.0,7880.0,30.279605263157883,1759.8000000000006,146155.0,1.440251572327044
's-Hertogenbosch                        ,456985.0,225631.0,231144.0,73592.0,52724.0,123128.0,129100.0,78101.0,256.247311827957,70.89423076923077,5918.0,4242.0,27.657575757575746,705.7999999999998,47480.0,3.115702479338843
Aa en Hunze                             ,76006.0,37963.0,38183.0,10562.0,7533.0,13003.0,25252.0,18786.0,247.75,96.15873015873017,5042.0,1214.0,27.049999999999994,193.3,6495.0,4.972972972972973
Aalburg                                 ,39162.0,19805.0,19307.0,7557.0,5255.0,9016.0,10734.0,6555.0,263.57894736842104,94.4090909090909,1695.0,501.0,24.636842105263156,59.099999999999994,4535.0,4.913043478260869
Aalsmeer                                ,94088.0,46521.0,47552.0,17631.0,10479.0,21696.0,27294.0,17158.0,324.2307692307692,81.84615384615384,854.0,417.0,30.246153846153845,48.7,10310.0,4.0
Aalten                                  ,81097.0,40840.0,40232.0,13309.0,8818.0,16856.0,24724.0,17120.0,,84.02941176470588,2686.0,681.0,22.903125,98.19999999999999,6230.0,4.5588235294117645
Achtkarspelen                           ,83643.0,42525.0,41103.0,15307.0,9819.0,19184.0,23651.0,15587.0,189.88,94.17857142857143,2063.0,702.0,20.676,133.59999999999997,6875.0,4.892857142857143
Alblasserdam                            ,59948.0,29364.0,30534.0,11868.0,7468.0,13994.0,15235.0,11638.0,217.96153846153845,73.0,1775.0,1019.0,24.788888888888884,135.9,4910.0,2.9444444444444446
Albrandswaard                           ,75255.0,37295.0,37910.0,14058.0,8004.0,17681.0,23210.0,12372.0,271.3478260869565,86.76666666666667,2151.0,808.0,32.63846153846154,87.70000000000002,5885.0,3.911764705882353
Alkmaar                                 ,324973.0,160829.0,163989.0,52232.0,35958.0,85436.0,93077.0,59225.0,209.1,68.51351351351352,4646.0,2665.0,26.538028169014087,470.8999999999999,28205.0,2.5714285714285716
Almelo                                  ,217354.0,108415.0,108859.0,36518.0,25650.0,52599.0,61049.0,40848.0,166.44155844155844,76.32051282051282,4396.0,3356.0,21.94743589743589,794.2999999999997,14840.0,2.814814814814815
